"Stars","Title","State Penalty","docking score","globalStrain(kcal)","energy","Chirality 1","Chirality 2"
2,"20241030_D8",0.0475,-9.611,15.507,,"",""
2,"20241030_D9_T1",0.0005,-8.413,10.401,,"",""
2,"20241030_D9_T2",0.0005,-8.455,7.806,,"",""
