"Stars","Title","State Penalty","docking score","localStrain(kcal)","globalStrain(kcal)","glide gscore"
2,"DQ-1_T2",0.0000,-6.245,3.109,7.547,
2,"DQ-2_T2",0.0000,-6.962,3.185,11.707,
2,"Roche-1_T1",0.0000,-8.067,1.143,2.399,
2,"20241104-D1",0.0000,-9.082,7.500,11.505,
2,"20241104-D2",0.0000,-6.875,1.956,5.294,
2,"20241104-D3_T1",0.0429,-9.486,5.441,7.492,
2,"20241104-D4_T1",0.0342,-6.903,3.941,20.764,
2,"20241104-D5_T2",0.0320,-7.017,3.062,10.617,
2,"20241104-D6_T2",0.3295,-6.198,4.419,6.256,
2,"20241104-D6_T4",0.5056,-5.030,1.659,8.542,
2,"20241104-D7_T3",0.6040,-5.944,3.578,9.768,
