"Stars","Title","State Penalty","docking score","globalStrain(kcal)","energy","Chirality 1","Chirality 2"
2,"20241011_D1-T1",0.0005,-9.177,10.271,,"",""
2,"20241011_D2-T1",0.0000,-10.408,8.745,,"",""
2,"20241011_D3",0.0000,-9.118,6.664,,"",""
2,"20241011_D4",0.0000,-9.142,7.827,,"",""
2,"20241011_D5",0.0005,-8.608,9.742,,"",""
2,"20241011_D6",0.0005,-8.945,6.473,,"",""
