"Stars","Title","State Penalty","docking score","globalStrain(kcal)","energy","Chirality 1","Chirality 2"
2,"20250417-D4-T2",,-9.424,18.749,,"",""
2,"HW009",,-9.192,17.069,,"",""
2,"20250417-D1",,-8.899,14.772,,"",""
2,"HW060",,-8.832,21.226,,"",""
2,"20250417-D4-T1",,-8.789,15.881,,"",""
2,"HW054",,-8.594,14.097,,"",""
2,"20250417-D3",,-8.501,97.976,,"",""
2,"20250417-D2",,-8.422,24.356,,"",""
