"Stars","Title","State Penalty","docking score","localStrain(kcal)","globalStrain(kcal)","glide gscore"
2,"20241028_D1_T1",0.0186,-9.200,10.472,14.196,
2,"20241028_D2",0.0000,-9.459,3.538,11.796,
2,"20241028_D3",0.0000,-9.185,2.120,7.515,
2,"20241028_D4_T1",0.0088,-9.574,9.395,11.706,
2,"20241028_D5_T1",0.0166,-9.766,8.872,12.491,
2,"20241028_D6_T1",0.0000,-8.623,3.645,6.507,
2,"20241028_D7",0.0043,-8.414,2.272,5.083,
