"Stars","Title","State Penalty","docking score","localStrain(kcal)","globalStrain(kcal)","glide gscore"
2,"20241009_D1",0.0000,-9.394,3.250,6.071,
2,"20241009_D2",0.0000,-9.540,4.216,5.882,
2,"20241009_D3",0.0000,-9.406,2.376,8.193,
2,"20241009_D4",0.0000,-9.423,2.201,8.256,
2,"20241009_D5",0.0000,-9.094,3.867,12.011,
2,"20241009_D6",0.0000,-9.330,2.839,7.320,
2,"20241009_D7_T1",0.0000,-9.208,3.171,4.429,
2,"HW356011",0.0000,-9.458,4.900,6.460,
