"Stars","Title","State Penalty","docking score","localStrain(kcal)","globalStrain(kcal)","glide gscore"
2,"20241010_D1",0.0042,-8.578,4.778,7.706,
2,"20241010_D2",0.0034,-8.528,5.536,8.846,
2,"20241010_D3",0.0065,-7.733,5.127,10.529,
2,"20241010_D4",0.0079,-8.857,5.270,10.874,
2,"20241010_D5",0.0004,-9.071,3.709,7.035,
2,"20241010_D6",0.0004,-8.310,3.146,10.447,
2,"AIDD-cpd6",0.0005,-8.632,3.710,6.990,
